"date","fomc_w_floor","fomc_w_plus","w_t0","w_t1","w_t2","w_t3","w_t4","w_t5","w_t6"
2014-04-16,4,5,0,0,1,0,0,0,0
2014-04-17,4,5,0,0,1,0,0,0,0
2014-04-18,4,5,0,0,1,0,0,0,0
2014-04-19,4,5,0,0,1,0,0,0,0
2014-04-20,4,5,0,0,1,0,0,0,0
2014-04-21,4,5,0,0,1,0,0,0,0
2014-04-22,5,6,0,1,0,0,0,0,0
2014-04-23,5,6,0,1,0,0,0,0,0
2014-04-24,5,6,0,1,0,0,0,0,0
2014-04-25,5,6,0,1,0,0,0,0,0
2014-04-26,5,6,0,1,0,0,0,0,0
2014-04-27,5,6,0,1,0,0,0,0,0
2014-04-28,5,6,0,1,0,0,0,0,0
2014-04-29,0,1,0,0,0,0,0,0,1
2014-04-30,0,1,0,0,0,0,0,0,1
2014-05-01,0,1,0,0,0,0,0,0,1
2014-05-02,0,1,0,0,0,0,0,0,1
2014-05-03,0,1,0,0,0,0,0,0,1
2014-05-04,0,1,0,0,0,0,0,0,1
2014-05-05,0,1,0,0,0,0,0,0,1
2014-05-06,1,2,0,0,0,0,0,1,0
2014-05-07,1,2,0,0,0,0,0,1,0
2014-05-08,1,2,0,0,0,0,0,1,0
2014-05-09,1,2,0,0,0,0,0,1,0
2014-05-10,1,2,0,0,0,0,0,1,0
2014-05-11,1,2,0,0,0,0,0,1,0
2014-05-12,1,2,0,0,0,0,0,1,0
2014-05-13,2,3,0,0,0,0,1,0,0
2014-05-14,2,3,0,0,0,0,1,0,0
2014-05-15,2,3,0,0,0,0,1,0,0
2014-05-16,2,3,0,0,0,0,1,0,0
2014-05-17,2,3,0,0,0,0,1,0,0
2014-05-18,2,3,0,0,0,0,1,0,0
2014-05-19,2,3,0,0,0,0,1,0,0
2014-05-20,3,4,0,0,0,1,0,0,0
2014-05-21,3,4,0,0,0,1,0,0,0
2014-05-22,3,4,0,0,0,1,0,0,0
2014-05-23,3,4,0,0,0,1,0,0,0
2014-05-24,3,4,0,0,0,1,0,0,0
2014-05-25,3,4,0,0,0,1,0,0,0
2014-05-26,3,4,0,0,0,1,0,0,0
2014-05-27,4,5,0,0,1,0,0,0,0
2014-05-28,4,5,0,0,1,0,0,0,0
2014-05-29,4,5,0,0,1,0,0,0,0
2014-05-30,4,5,0,0,1,0,0,0,0
2014-05-31,4,5,0,0,1,0,0,0,0
2014-06-01,4,5,0,0,1,0,0,0,0
2014-06-02,4,5,0,0,1,0,0,0,0
2014-06-03,5,6,0,1,0,0,0,0,0
2014-06-04,5,6,0,1,0,0,0,0,0
2014-06-05,5,6,0,1,0,0,0,0,0
2014-06-06,5,6,0,1,0,0,0,0,0
2014-06-07,5,6,0,1,0,0,0,0,0
2014-06-08,5,6,0,1,0,0,0,0,0
2014-06-09,5,6,0,1,0,0,0,0,0
2014-06-10,6,7,1,0,0,0,0,0,0
2014-06-11,6,7,1,0,0,0,0,0,0
2014-06-12,6,7,1,0,0,0,0,0,0
2014-06-13,6,7,1,0,0,0,0,0,0
2014-06-14,6,7,1,0,0,0,0,0,0
2014-06-15,6,7,1,0,0,0,0,0,0
2014-06-16,6,7,1,0,0,0,0,0,0
2014-06-17,0,1,0,0,0,0,0,0,1
2014-06-18,0,1,0,0,0,0,0,0,1
2014-06-19,0,1,0,0,0,0,0,0,1
2014-06-20,0,1,0,0,0,0,0,0,1
2014-06-21,0,1,0,0,0,0,0,0,1
2014-06-22,0,1,0,0,0,0,0,0,1
2014-06-23,0,1,0,0,0,0,0,0,1
2014-06-24,1,2,0,0,0,0,0,1,0
2014-06-25,1,2,0,0,0,0,0,1,0
2014-06-26,1,2,0,0,0,0,0,1,0
2014-06-27,1,2,0,0,0,0,0,1,0
2014-06-28,1,2,0,0,0,0,0,1,0
2014-06-29,1,2,0,0,0,0,0,1,0
2014-06-30,1,2,0,0,0,0,0,1,0
2014-07-01,2,3,0,0,0,0,1,0,0
2014-07-02,2,3,0,0,0,0,1,0,0
2014-07-03,2,3,0,0,0,0,1,0,0
2014-07-04,2,3,0,0,0,0,1,0,0
2014-07-05,2,3,0,0,0,0,1,0,0
2014-07-06,2,3,0,0,0,0,1,0,0
2014-07-07,2,3,0,0,0,0,1,0,0
2014-07-08,3,4,0,0,0,1,0,0,0
2014-07-09,3,4,0,0,0,1,0,0,0
2014-07-10,3,4,0,0,0,1,0,0,0
2014-07-11,3,4,0,0,0,1,0,0,0
2014-07-12,3,4,0,0,0,1,0,0,0
2014-07-13,3,4,0,0,0,1,0,0,0
2014-07-14,3,4,0,0,0,1,0,0,0
2014-07-15,4,5,0,0,1,0,0,0,0
2014-07-16,4,5,0,0,1,0,0,0,0
2014-07-17,4,5,0,0,1,0,0,0,0
2014-07-18,4,5,0,0,1,0,0,0,0
2014-07-19,4,5,0,0,1,0,0,0,0
2014-07-20,4,5,0,0,1,0,0,0,0
2014-07-21,4,5,0,0,1,0,0,0,0
2014-07-22,5,6,0,1,0,0,0,0,0
2014-07-23,5,6,0,1,0,0,0,0,0
2014-07-24,5,6,0,1,0,0,0,0,0
2014-07-25,5,6,0,1,0,0,0,0,0
2014-07-26,5,6,0,1,0,0,0,0,0
2014-07-27,5,6,0,1,0,0,0,0,0
2014-07-28,5,6,0,1,0,0,0,0,0
2014-07-29,0,1,0,0,0,0,0,0,1
2014-07-30,0,1,0,0,0,0,0,0,1
2014-07-31,0,1,0,0,0,0,0,0,1
2014-08-01,0,1,0,0,0,0,0,0,1
2014-08-02,0,1,0,0,0,0,0,0,1
2014-08-03,0,1,0,0,0,0,0,0,1
2014-08-04,0,1,0,0,0,0,0,0,1
2014-08-05,1,2,0,0,0,0,0,1,0
2014-08-06,1,2,0,0,0,0,0,1,0
2014-08-07,1,2,0,0,0,0,0,1,0
2014-08-08,1,2,0,0,0,0,0,1,0
2014-08-09,1,2,0,0,0,0,0,1,0
2014-08-10,1,2,0,0,0,0,0,1,0
2014-08-11,1,2,0,0,0,0,0,1,0
2014-08-12,2,3,0,0,0,0,1,0,0
2014-08-13,2,3,0,0,0,0,1,0,0
2014-08-14,2,3,0,0,0,0,1,0,0
2014-08-15,2,3,0,0,0,0,1,0,0
2014-08-16,2,3,0,0,0,0,1,0,0
2014-08-17,2,3,0,0,0,0,1,0,0
2014-08-18,2,3,0,0,0,0,1,0,0
2014-08-19,3,4,0,0,0,1,0,0,0
2014-08-20,3,4,0,0,0,1,0,0,0
2014-08-21,3,4,0,0,0,1,0,0,0
2014-08-22,3,4,0,0,0,1,0,0,0
2014-08-23,3,4,0,0,0,1,0,0,0
2014-08-24,3,4,0,0,0,1,0,0,0
2014-08-25,3,4,0,0,0,1,0,0,0
2014-08-26,4,5,0,0,1,0,0,0,0
2014-08-27,4,5,0,0,1,0,0,0,0
2014-08-28,4,5,0,0,1,0,0,0,0
2014-08-29,4,5,0,0,1,0,0,0,0
2014-08-30,4,5,0,0,1,0,0,0,0
2014-08-31,4,5,0,0,1,0,0,0,0
2014-09-01,4,5,0,0,1,0,0,0,0
2014-09-02,5,6,0,1,0,0,0,0,0
2014-09-03,5,6,0,1,0,0,0,0,0
2014-09-04,5,6,0,1,0,0,0,0,0
2014-09-05,5,6,0,1,0,0,0,0,0
2014-09-06,5,6,0,1,0,0,0,0,0
2014-09-07,5,6,0,1,0,0,0,0,0
2014-09-08,5,6,0,1,0,0,0,0,0
2014-09-09,6,7,1,0,0,0,0,0,0
2014-09-10,6,7,1,0,0,0,0,0,0
2014-09-11,6,7,1,0,0,0,0,0,0
2014-09-12,6,7,1,0,0,0,0,0,0
2014-09-13,6,7,1,0,0,0,0,0,0
2014-09-14,6,7,1,0,0,0,0,0,0
2014-09-15,6,7,1,0,0,0,0,0,0
2014-09-16,0,1,0,0,0,0,0,0,1
2014-09-17,0,1,0,0,0,0,0,0,1
2014-09-18,0,1,0,0,0,0,0,0,1
2014-09-19,0,1,0,0,0,0,0,0,1
2014-09-20,0,1,0,0,0,0,0,0,1
2014-09-21,0,1,0,0,0,0,0,0,1
2014-09-22,0,1,0,0,0,0,0,0,1
2014-09-23,1,2,0,0,0,0,0,1,0
2014-09-24,1,2,0,0,0,0,0,1,0
2014-09-25,1,2,0,0,0,0,0,1,0
2014-09-26,1,2,0,0,0,0,0,1,0
2014-09-27,1,2,0,0,0,0,0,1,0
2014-09-28,1,2,0,0,0,0,0,1,0
2014-09-29,1,2,0,0,0,0,0,1,0
2014-09-30,2,3,0,0,0,0,1,0,0
2014-10-01,2,3,0,0,0,0,1,0,0
2014-10-02,2,3,0,0,0,0,1,0,0
2014-10-03,2,3,0,0,0,0,1,0,0
2014-10-04,2,3,0,0,0,0,1,0,0
2014-10-05,2,3,0,0,0,0,1,0,0
2014-10-06,2,3,0,0,0,0,1,0,0
2014-10-07,3,4,0,0,0,1,0,0,0
2014-10-08,3,4,0,0,0,1,0,0,0
2014-10-09,3,4,0,0,0,1,0,0,0
2014-10-10,3,4,0,0,0,1,0,0,0
2014-10-11,3,4,0,0,0,1,0,0,0
2014-10-12,3,4,0,0,0,1,0,0,0
2014-10-13,3,4,0,0,0,1,0,0,0
2014-10-14,4,5,0,0,1,0,0,0,0
2014-10-15,4,5,0,0,1,0,0,0,0
2014-10-16,4,5,0,0,1,0,0,0,0
2014-10-17,4,5,0,0,1,0,0,0,0
2014-10-18,4,5,0,0,1,0,0,0,0
2014-10-19,4,5,0,0,1,0,0,0,0
2014-10-20,4,5,0,0,1,0,0,0,0
2014-10-21,5,6,0,1,0,0,0,0,0
2014-10-22,5,6,0,1,0,0,0,0,0
2014-10-23,5,6,0,1,0,0,0,0,0
2014-10-24,5,6,0,1,0,0,0,0,0
2014-10-25,5,6,0,1,0,0,0,0,0
2014-10-26,5,6,0,1,0,0,0,0,0
2014-10-27,5,6,0,1,0,0,0,0,0
2014-10-28,0,1,0,0,0,0,0,0,1
2014-10-29,0,1,0,0,0,0,0,0,1
2014-10-30,0,1,0,0,0,0,0,0,1
2014-10-31,0,1,0,0,0,0,0,0,1
2014-11-01,0,1,0,0,0,0,0,0,1
2014-11-02,0,1,0,0,0,0,0,0,1
2014-11-03,0,1,0,0,0,0,0,0,1
2014-11-04,1,2,0,0,0,0,0,1,0
2014-11-05,1,2,0,0,0,0,0,1,0
2014-11-06,1,2,0,0,0,0,0,1,0
2014-11-07,1,2,0,0,0,0,0,1,0
2014-11-08,1,2,0,0,0,0,0,1,0
2014-11-09,1,2,0,0,0,0,0,1,0
2014-11-10,1,2,0,0,0,0,0,1,0
2014-11-11,2,3,0,0,0,0,1,0,0
2014-11-12,2,3,0,0,0,0,1,0,0
2014-11-13,2,3,0,0,0,0,1,0,0
2014-11-14,2,3,0,0,0,0,1,0,0
2014-11-15,2,3,0,0,0,0,1,0,0
2014-11-16,2,3,0,0,0,0,1,0,0
2014-11-17,2,3,0,0,0,0,1,0,0
2014-11-18,3,4,0,0,0,1,0,0,0
2014-11-19,3,4,0,0,0,1,0,0,0
2014-11-20,3,4,0,0,0,1,0,0,0
2014-11-21,3,4,0,0,0,1,0,0,0
2014-11-22,3,4,0,0,0,1,0,0,0
2014-11-23,3,4,0,0,0,1,0,0,0
2014-11-24,3,4,0,0,0,1,0,0,0
2014-11-25,4,5,0,0,1,0,0,0,0
2014-11-26,4,5,0,0,1,0,0,0,0
2014-11-27,4,5,0,0,1,0,0,0,0
2014-11-28,4,5,0,0,1,0,0,0,0
2014-11-29,4,5,0,0,1,0,0,0,0
2014-11-30,4,5,0,0,1,0,0,0,0
2014-12-01,4,5,0,0,1,0,0,0,0
2014-12-02,5,6,0,1,0,0,0,0,0
2014-12-03,5,6,0,1,0,0,0,0,0
2014-12-04,5,6,0,1,0,0,0,0,0
2014-12-05,5,6,0,1,0,0,0,0,0
2014-12-06,5,6,0,1,0,0,0,0,0
2014-12-07,5,6,0,1,0,0,0,0,0
2014-12-08,5,6,0,1,0,0,0,0,0
2014-12-09,6,7,1,0,0,0,0,0,0
2014-12-10,6,7,1,0,0,0,0,0,0
2014-12-11,6,7,1,0,0,0,0,0,0
2014-12-12,6,7,1,0,0,0,0,0,0
2014-12-13,6,7,1,0,0,0,0,0,0
2014-12-14,6,7,1,0,0,0,0,0,0
2014-12-15,6,7,1,0,0,0,0,0,0
2014-12-16,0,1,0,0,0,0,0,0,1
2014-12-17,0,1,0,0,0,0,0,0,1
2014-12-18,0,1,0,0,0,0,0,0,1
2014-12-19,0,1,0,0,0,0,0,0,1
2014-12-20,0,1,0,0,0,0,0,0,1
2014-12-21,0,1,0,0,0,0,0,0,1
2014-12-22,0,1,0,0,0,0,0,0,1
2014-12-23,1,2,0,0,0,0,0,1,0
2014-12-24,1,2,0,0,0,0,0,1,0
2014-12-25,1,2,0,0,0,0,0,1,0
2014-12-26,1,2,0,0,0,0,0,1,0
2014-12-27,1,2,0,0,0,0,0,1,0
2014-12-28,1,2,0,0,0,0,0,1,0
2014-12-29,1,2,0,0,0,0,0,1,0
2014-12-30,2,3,0,0,0,0,1,0,0
2014-12-31,2,3,0,0,0,0,1,0,0
2015-01-01,2,3,0,0,0,0,1,0,0
2015-01-02,2,3,0,0,0,0,1,0,0
2015-01-03,2,3,0,0,0,0,1,0,0
2015-01-04,2,3,0,0,0,0,1,0,0
2015-01-05,2,3,0,0,0,0,1,0,0
2015-01-06,3,4,0,0,0,1,0,0,0
2015-01-07,3,4,0,0,0,1,0,0,0
2015-01-08,3,4,0,0,0,1,0,0,0
2015-01-09,3,4,0,0,0,1,0,0,0
2015-01-10,3,4,0,0,0,1,0,0,0
2015-01-11,3,4,0,0,0,1,0,0,0
2015-01-12,3,4,0,0,0,1,0,0,0
2015-01-13,4,5,0,0,1,0,0,0,0
2015-01-14,4,5,0,0,1,0,0,0,0
2015-01-15,4,5,0,0,1,0,0,0,0
2015-01-16,4,5,0,0,1,0,0,0,0
2015-01-17,4,5,0,0,1,0,0,0,0
2015-01-18,4,5,0,0,1,0,0,0,0
2015-01-19,4,5,0,0,1,0,0,0,0
2015-01-20,5,6,0,1,0,0,0,0,0
2015-01-21,5,6,0,1,0,0,0,0,0
2015-01-22,5,6,0,1,0,0,0,0,0
2015-01-23,5,6,0,1,0,0,0,0,0
2015-01-24,5,6,0,1,0,0,0,0,0
2015-01-25,5,6,0,1,0,0,0,0,0
2015-01-26,5,6,0,1,0,0,0,0,0
2015-01-27,0,1,0,0,0,0,0,0,1
2015-01-28,0,1,0,0,0,0,0,0,1
2015-01-29,0,1,0,0,0,0,0,0,1
2015-01-30,0,1,0,0,0,0,0,0,1
2015-01-31,0,1,0,0,0,0,0,0,1
2015-02-01,0,1,0,0,0,0,0,0,1
2015-02-02,0,1,0,0,0,0,0,0,1
2015-02-03,1,2,0,0,0,0,0,1,0
2015-02-04,1,2,0,0,0,0,0,1,0
2015-02-05,1,2,0,0,0,0,0,1,0
2015-02-06,1,2,0,0,0,0,0,1,0
2015-02-07,1,2,0,0,0,0,0,1,0
2015-02-08,1,2,0,0,0,0,0,1,0
2015-02-09,1,2,0,0,0,0,0,1,0
2015-02-10,2,3,0,0,0,0,1,0,0
2015-02-11,2,3,0,0,0,0,1,0,0
2015-02-12,2,3,0,0,0,0,1,0,0
2015-02-13,2,3,0,0,0,0,1,0,0
2015-02-14,2,3,0,0,0,0,1,0,0
2015-02-15,2,3,0,0,0,0,1,0,0
2015-02-16,2,3,0,0,0,0,1,0,0
2015-02-17,3,4,0,0,0,1,0,0,0
2015-02-18,3,4,0,0,0,1,0,0,0
2015-02-19,3,4,0,0,0,1,0,0,0
2015-02-20,3,4,0,0,0,1,0,0,0
2015-02-21,3,4,0,0,0,1,0,0,0
2015-02-22,3,4,0,0,0,1,0,0,0
2015-02-23,3,4,0,0,0,1,0,0,0
2015-02-24,4,5,0,0,1,0,0,0,0
2015-02-25,4,5,0,0,1,0,0,0,0
2015-02-26,4,5,0,0,1,0,0,0,0
2015-02-27,4,5,0,0,1,0,0,0,0
2015-02-28,4,5,0,0,1,0,0,0,0
2015-03-01,4,5,0,0,1,0,0,0,0
2015-03-02,4,5,0,0,1,0,0,0,0
2015-03-03,5,6,0,1,0,0,0,0,0
2015-03-04,5,6,0,1,0,0,0,0,0
2015-03-05,5,6,0,1,0,0,0,0,0
2015-03-06,5,6,0,1,0,0,0,0,0
2015-03-07,5,6,0,1,0,0,0,0,0
2015-03-08,5,6,0,1,0,0,0,0,0
2015-03-09,5,6,0,1,0,0,0,0,0
2015-03-10,6,7,1,0,0,0,0,0,0
2015-03-11,6,7,1,0,0,0,0,0,0
2015-03-12,6,7,1,0,0,0,0,0,0
2015-03-13,6,7,1,0,0,0,0,0,0
2015-03-14,6,7,1,0,0,0,0,0,0
2015-03-15,6,7,1,0,0,0,0,0,0
2015-03-16,6,7,1,0,0,0,0,0,0
2015-03-17,0,1,0,0,0,0,0,0,1
2015-03-18,0,1,0,0,0,0,0,0,1
2015-03-19,0,1,0,0,0,0,0,0,1
2015-03-20,0,1,0,0,0,0,0,0,1
2015-03-21,0,1,0,0,0,0,0,0,1
2015-03-22,0,1,0,0,0,0,0,0,1
2015-03-23,0,1,0,0,0,0,0,0,1
2015-03-24,1,2,0,0,0,0,0,1,0
2015-03-25,1,2,0,0,0,0,0,1,0
2015-03-26,1,2,0,0,0,0,0,1,0
2015-03-27,1,2,0,0,0,0,0,1,0
2015-03-28,1,2,0,0,0,0,0,1,0
2015-03-29,1,2,0,0,0,0,0,1,0
2015-03-30,1,2,0,0,0,0,0,1,0
2015-03-31,2,3,0,0,0,0,1,0,0
2015-04-01,2,3,0,0,0,0,1,0,0
2015-04-02,2,3,0,0,0,0,1,0,0
2015-04-03,2,3,0,0,0,0,1,0,0
2015-04-04,2,3,0,0,0,0,1,0,0
2015-04-05,2,3,0,0,0,0,1,0,0
2015-04-06,2,3,0,0,0,0,1,0,0
2015-04-07,3,4,0,0,0,1,0,0,0
2015-04-08,3,4,0,0,0,1,0,0,0
2015-04-09,3,4,0,0,0,1,0,0,0
2015-04-10,3,4,0,0,0,1,0,0,0
2015-04-11,3,4,0,0,0,1,0,0,0
2015-04-12,3,4,0,0,0,1,0,0,0
2015-04-13,3,4,0,0,0,1,0,0,0
2015-04-14,4,5,0,0,1,0,0,0,0
2015-04-15,4,5,0,0,1,0,0,0,0
2015-04-16,4,5,0,0,1,0,0,0,0
2015-04-17,4,5,0,0,1,0,0,0,0
2015-04-18,4,5,0,0,1,0,0,0,0
2015-04-19,4,5,0,0,1,0,0,0,0
2015-04-20,4,5,0,0,1,0,0,0,0
2015-04-21,5,6,0,1,0,0,0,0,0
2015-04-22,5,6,0,1,0,0,0,0,0
2015-04-23,5,6,0,1,0,0,0,0,0
2015-04-24,5,6,0,1,0,0,0,0,0
2015-04-25,5,6,0,1,0,0,0,0,0
2015-04-26,5,6,0,1,0,0,0,0,0
2015-04-27,5,6,0,1,0,0,0,0,0
2015-04-28,0,1,0,0,0,0,0,0,1
2015-04-29,0,1,0,0,0,0,0,0,1
2015-04-30,0,1,0,0,0,0,0,0,1
2015-05-01,0,1,0,0,0,0,0,0,1
2015-05-02,0,1,0,0,0,0,0,0,1
2015-05-03,0,1,0,0,0,0,0,0,1
2015-05-04,0,1,0,0,0,0,0,0,1
2015-05-05,1,2,0,0,0,0,0,1,0
2015-05-06,1,2,0,0,0,0,0,1,0
2015-05-07,1,2,0,0,0,0,0,1,0
2015-05-08,1,2,0,0,0,0,0,1,0
2015-05-09,1,2,0,0,0,0,0,1,0
2015-05-10,1,2,0,0,0,0,0,1,0
2015-05-11,1,2,0,0,0,0,0,1,0
2015-05-12,2,3,0,0,0,0,1,0,0
2015-05-13,2,3,0,0,0,0,1,0,0
2015-05-14,2,3,0,0,0,0,1,0,0
2015-05-15,2,3,0,0,0,0,1,0,0
2015-05-16,2,3,0,0,0,0,1,0,0
2015-05-17,2,3,0,0,0,0,1,0,0
2015-05-18,2,3,0,0,0,0,1,0,0
2015-05-19,3,4,0,0,0,1,0,0,0
2015-05-20,3,4,0,0,0,1,0,0,0
2015-05-21,3,4,0,0,0,1,0,0,0
2015-05-22,3,4,0,0,0,1,0,0,0
2015-05-23,3,4,0,0,0,1,0,0,0
2015-05-24,3,4,0,0,0,1,0,0,0
2015-05-25,3,4,0,0,0,1,0,0,0
2015-05-26,4,5,0,0,1,0,0,0,0
2015-05-27,4,5,0,0,1,0,0,0,0
2015-05-28,4,5,0,0,1,0,0,0,0
2015-05-29,4,5,0,0,1,0,0,0,0
2015-05-30,4,5,0,0,1,0,0,0,0
2015-05-31,4,5,0,0,1,0,0,0,0
2015-06-01,4,5,0,0,1,0,0,0,0
2015-06-02,5,6,0,1,0,0,0,0,0
2015-06-03,5,6,0,1,0,0,0,0,0
2015-06-04,5,6,0,1,0,0,0,0,0
2015-06-05,5,6,0,1,0,0,0,0,0
2015-06-06,5,6,0,1,0,0,0,0,0
2015-06-07,5,6,0,1,0,0,0,0,0
2015-06-08,5,6,0,1,0,0,0,0,0
2015-06-09,6,7,1,0,0,0,0,0,0
2015-06-10,6,7,1,0,0,0,0,0,0
2015-06-11,6,7,1,0,0,0,0,0,0
2015-06-12,6,7,1,0,0,0,0,0,0
2015-06-13,6,7,1,0,0,0,0,0,0
2015-06-14,6,7,1,0,0,0,0,0,0
2015-06-15,6,7,1,0,0,0,0,0,0
2015-06-16,0,1,0,0,0,0,0,0,1
2015-06-17,0,1,0,0,0,0,0,0,1
2015-06-18,0,1,0,0,0,0,0,0,1
2015-06-19,0,1,0,0,0,0,0,0,1
2015-06-20,0,1,0,0,0,0,0,0,1
2015-06-21,0,1,0,0,0,0,0,0,1
2015-06-22,0,1,0,0,0,0,0,0,1
2015-06-23,1,2,0,0,0,0,0,1,0
2015-06-24,1,2,0,0,0,0,0,1,0
2015-06-25,1,2,0,0,0,0,0,1,0
2015-06-26,1,2,0,0,0,0,0,1,0
2015-06-27,1,2,0,0,0,0,0,1,0
2015-06-28,1,2,0,0,0,0,0,1,0
2015-06-29,1,2,0,0,0,0,0,1,0
2015-06-30,2,3,0,0,0,0,1,0,0
2015-07-01,2,3,0,0,0,0,1,0,0
2015-07-02,2,3,0,0,0,0,1,0,0
2015-07-03,2,3,0,0,0,0,1,0,0
2015-07-04,2,3,0,0,0,0,1,0,0
2015-07-05,2,3,0,0,0,0,1,0,0
2015-07-06,2,3,0,0,0,0,1,0,0
2015-07-07,3,4,0,0,0,1,0,0,0
2015-07-08,3,4,0,0,0,1,0,0,0
2015-07-09,3,4,0,0,0,1,0,0,0
2015-07-10,3,4,0,0,0,1,0,0,0
2015-07-11,3,4,0,0,0,1,0,0,0
2015-07-12,3,4,0,0,0,1,0,0,0
2015-07-13,3,4,0,0,0,1,0,0,0
2015-07-14,4,5,0,0,1,0,0,0,0
2015-07-15,4,5,0,0,1,0,0,0,0
2015-07-16,4,5,0,0,1,0,0,0,0
2015-07-17,4,5,0,0,1,0,0,0,0
2015-07-18,4,5,0,0,1,0,0,0,0
2015-07-19,4,5,0,0,1,0,0,0,0
2015-07-20,4,5,0,0,1,0,0,0,0
2015-07-21,5,6,0,1,0,0,0,0,0
2015-07-22,5,6,0,1,0,0,0,0,0
2015-07-23,5,6,0,1,0,0,0,0,0
2015-07-24,5,6,0,1,0,0,0,0,0
2015-07-25,5,6,0,1,0,0,0,0,0
2015-07-26,5,6,0,1,0,0,0,0,0
2015-07-27,5,6,0,1,0,0,0,0,0
2015-07-28,0,1,0,0,0,0,0,0,1
2015-07-29,0,1,0,0,0,0,0,0,1
2015-07-30,0,1,0,0,0,0,0,0,1
2015-07-31,0,1,0,0,0,0,0,0,1
2015-08-01,0,1,0,0,0,0,0,0,1
2015-08-02,0,1,0,0,0,0,0,0,1
2015-08-03,0,1,0,0,0,0,0,0,1
2015-08-04,1,2,0,0,0,0,0,1,0
2015-08-05,1,2,0,0,0,0,0,1,0
